X1,Y1,W1,H1,X2,Y2,W2,H2
360,175,25,50,375,120,30,75
365,160,25,55,375,125,30,80
370,150,25,55,380,110,30,75
370,150,25,55,380,110,35,85
50,55,0,20,385,95,30,80
50,65,0,20,385,100,30,80
50,15,5,10,390,90,35,85
50,25,20,15,390,85,30,80
50,30,30,15,390,85,35,80
50,25,45,15,395,70,30,75
65,25,40,15,395,70,30,75
70,25,50,10,400,65,35,100
85,30,65,10,400,60,35,95
95,30,65,10,405,50,30,85
115,35,60,5,405,50,30,85
125,35,60,10,405,50,30,80
135,35,65,10,405,55,30,85
145,40,70,15,405,55,35,85
155,40,65,10,405,60,35,85
165,45,70,10,405,65,35,85
175,45,60,5,405,65,35,80
180,45,60,15,410,55,35,75
195,40,55,30,415,60,35,70
210,40,35,45,410,30,30,65
220,50,35,45,410,30,35,65
230,60,45,60,410,35,45,65
235,75,40,55,410,35,45,65
245,80,40,60,405,35,55,55
250,90,45,60,410,35,60,60
255,100,45,55,410,35,60,60
260,105,50,50,405,35,65,55
260,115,45,25,395,30,60,45
260,130,45,35,395,30,65,50
285,145,25,55,385,30,65,20
295,110,25,65,375,30,65,5
295,110,20,70,375,15,75,20
295,110,25,75,375,15,80,20
295,110,25,70,365,35,100,45
300,95,25,60,365,15,85,25
300,105,15,50,355,30,95,50
305,50,50,85,350,15,95,40
305,40,50,65,345,15,90,40
305,15,45,50,340,40,85,70
300,45,50,70,340,30,90,55
300,50,50,75,340,35,90,60
300,45,50,70,330,40,80,70
300,45,50,70,330,30,75,60
300,45,50,75,330,30,75,60
300,50,50,75,330,30,75,60
300,80,45,60,325,35,75,65
290,15,45,45,315,40,75,70
285,20,50,45,315,40,80,60
280,20,50,40,310,35,80,60
270,25,50,35,305,30,85,50
270,20,50,35,300,15,80,45
260,35,50,30,285,15,75,40
255,35,50,30,280,30,75,40
250,30,50,30,270,35,70,40
240,15,50,20,265,35,75,40
235,30,50,20,265,35,80,40
230,35,50,25,260,15,80,25
220,40,50,30,255,15,85,30
210,30,50,30,250,30,90,30
